rmse	model	kdim	idp	date	sensor
0.226377900638947	GAM_Duchon	9		2022-01-28T00:00:00Z	par
0.267623804137561	GAM_Gaussian	9		2022-01-28T00:00:00Z	par
0.248292826050909	Thin_plate_spline	8		2022-01-28T00:00:00Z	par
0.279764889635998	GAM_Penalized	5		2022-01-28T00:00:00Z	par
0.203360563529597	Inverse_dist_weighting		9	2022-01-28T00:00:00Z	par
0.241653567197285	Nearest_neighbor			2022-01-28T00:00:00Z	par
0.665471933498284	GAM_Duchon	8		2022-01-28T00:15:00Z	par
0.662535901489464	GAM_Gaussian	9		2022-01-28T00:15:00Z	par
0.654637506608823	Thin_plate_spline	8		2022-01-28T00:15:00Z	par
0.590028104642328	GAM_Penalized	7		2022-01-28T00:15:00Z	par
0.540364803782145	Inverse_dist_weighting		32	2022-01-28T00:15:00Z	par
0.560752064063472	Nearest_neighbor			2022-01-28T00:15:00Z	par
0.471171256658868	GAM_Duchon	6		2022-01-28T00:30:00Z	par
0.464108506994392	GAM_Gaussian	9		2022-01-28T00:30:00Z	par
0.460980319001332	Thin_plate_spline	5		2022-01-28T00:30:00Z	par
0.416621403655217	GAM_Penalized	7		2022-01-28T00:30:00Z	par
0.383392680382387	Inverse_dist_weighting		28	2022-01-28T00:30:00Z	par
0.396070910474307	Nearest_neighbor			2022-01-28T00:30:00Z	par
0.383440831804971	GAM_Duchon	9		2022-01-28T00:45:00Z	par
0.414726767815741	GAM_Gaussian	9		2022-01-28T00:45:00Z	par
0.392138464210761	Thin_plate_spline	8		2022-01-28T00:45:00Z	par
0.380273605950771	GAM_Penalized	6		2022-01-28T00:45:00Z	par
0.318312996460182	Inverse_dist_weighting		12	2022-01-28T00:45:00Z	par
0.349161815298258	Nearest_neighbor			2022-01-28T00:45:00Z	par
0.439130146875857	GAM_Duchon	6		2022-01-28T01:00:00Z	par
0.430680797164704	GAM_Gaussian	9		2022-01-28T01:00:00Z	par
0.428483314251029	Thin_plate_spline	5		2022-01-28T01:00:00Z	par
0.402812248493605	GAM_Penalized	6		2022-01-28T01:00:00Z	par
0.356317787610545	Inverse_dist_weighting		22	2022-01-28T01:00:00Z	par
0.381788854489763	Nearest_neighbor			2022-01-28T01:00:00Z	par
0.39239624001475	GAM_Duchon	6		2022-01-28T01:15:00Z	par
0.385154403690646	GAM_Gaussian	9		2022-01-28T01:15:00Z	par
0.382693563877181	Thin_plate_spline	5		2022-01-28T01:15:00Z	par
0.347362321269922	GAM_Penalized	6		2022-01-28T01:15:00Z	par
0.320915427670858	Inverse_dist_weighting		27	2022-01-28T01:15:00Z	par
0.330331035365529	Nearest_neighbor			2022-01-28T01:15:00Z	par
0.517734671897883	GAM_Duchon	6		2022-01-28T01:30:00Z	par
0.506386255317208	GAM_Gaussian	8		2022-01-28T01:30:00Z	par
0.501335935873758	Thin_plate_spline	5		2022-01-28T01:30:00Z	par
0.457035806440545	GAM_Penalized	9		2022-01-28T01:30:00Z	par
0.418269947485707	Inverse_dist_weighting		25	2022-01-28T01:30:00Z	par
0.447035115679239	Nearest_neighbor			2022-01-28T01:30:00Z	par
0.607567137448673	GAM_Duchon	8		2022-01-28T01:45:00Z	par
0.657568474865772	GAM_Gaussian	9		2022-01-28T01:45:00Z	par
0.604861699072918	Thin_plate_spline	8		2022-01-28T01:45:00Z	par
0.580758106010325	GAM_Penalized	9		2022-01-28T01:45:00Z	par
0.508249073872733	Inverse_dist_weighting		13	2022-01-28T01:45:00Z	par
0.547016560039214	Nearest_neighbor			2022-01-28T01:45:00Z	par
0.395882662597388	GAM_Duchon	9		2022-01-28T02:00:00Z	par
0.399419491886168	GAM_Gaussian	8		2022-01-28T02:00:00Z	par
0.393986548762512	Thin_plate_spline	5		2022-01-28T02:00:00Z	par
0.358803424430689	GAM_Penalized	9		2022-01-28T02:00:00Z	par
0.317804971641414	Inverse_dist_weighting		98	2022-01-28T02:00:00Z	par
0.347026235664872	Nearest_neighbor			2022-01-28T02:00:00Z	par
0.582525959872538	GAM_Duchon	8		2022-01-28T02:15:00Z	par
0.599043105964878	GAM_Gaussian	9		2022-01-28T02:15:00Z	par
0.579127376717219	Thin_plate_spline	8		2022-01-28T02:15:00Z	par
0.526849228435736	GAM_Penalized	9		2022-01-28T02:15:00Z	par
0.474341649025257	Inverse_dist_weighting		97	2022-01-28T02:15:00Z	par
0.510660758830845	Nearest_neighbor			2022-01-28T02:15:00Z	par
0.4305494218699	GAM_Duchon	9		2022-01-28T02:30:00Z	par
0.449405410612333	GAM_Gaussian	8		2022-01-28T02:30:00Z	par
0.433115665658597	Thin_plate_spline	9		2022-01-28T02:30:00Z	par
0.418514312398653	GAM_Penalized	6		2022-01-28T02:30:00Z	par
0.351508557402927	Inverse_dist_weighting		14	2022-01-28T02:30:00Z	par
0.399487790339498	Nearest_neighbor			2022-01-28T02:30:00Z	par
0.403951199365833	GAM_Duchon	8		2022-01-28T02:45:00Z	par
0.437068854230192	GAM_Gaussian	9		2022-01-28T02:45:00Z	par
0.396915790939493	Thin_plate_spline	8		2022-01-28T02:45:00Z	par
0.258469149158686	GAM_Penalized	7		2022-01-28T02:45:00Z	par
0.537587202228624	Inverse_dist_weighting		72	2022-01-28T02:45:00Z	par
0.561527989608633	Nearest_neighbor			2022-01-28T02:45:00Z	par
0.413928024167864	GAM_Duchon	8		2022-01-28T03:00:00Z	par
0.458005281905334	GAM_Gaussian	9		2022-01-28T03:00:00Z	par
0.412322173010823	Thin_plate_spline	8		2022-01-28T03:00:00Z	par
0.407761084880776	GAM_Penalized	9		2022-01-28T03:00:00Z	par
0.35119631921618	Inverse_dist_weighting		12	2022-01-28T03:00:00Z	par
0.382682900281182	Nearest_neighbor			2022-01-28T03:00:00Z	par
0.397282303928549	GAM_Duchon	6		2022-01-28T03:15:00Z	par
0.382084750805848	GAM_Gaussian	8		2022-01-28T03:15:00Z	par
0.377693696357491	Thin_plate_spline	5		2022-01-28T03:15:00Z	par
0.350077492296853	GAM_Penalized	6		2022-01-28T03:15:00Z	par
0.330244905033462	Inverse_dist_weighting		1	2022-01-28T03:15:00Z	par
0.334194184041208	Nearest_neighbor			2022-01-28T03:15:00Z	par
0.289777978440116	GAM_Duchon	5		2022-01-28T03:30:00Z	par
0.268936713013241	GAM_Gaussian	7		2022-01-28T03:30:00Z	par
0.27502604223714	Thin_plate_spline	6		2022-01-28T03:30:00Z	par
0.256230170896433	GAM_Penalized	6		2022-01-28T03:30:00Z	par
0.243183750612545	Inverse_dist_weighting		1	2022-01-28T03:30:00Z	par
0.249599577338203	Nearest_neighbor			2022-01-28T03:30:00Z	par
0.616702258017779	GAM_Duchon	9		2022-01-28T03:45:00Z	par
0.654332689825788	GAM_Gaussian	9		2022-01-28T03:45:00Z	par
0.623507588177804	Thin_plate_spline	8		2022-01-28T03:45:00Z	par
0.588148932507158	GAM_Penalized	6		2022-01-28T03:45:00Z	par
0.507250632292169	Inverse_dist_weighting		13	2022-01-28T03:45:00Z	par
