rmse	model	kdim	idp	date	sensor
0.0476536356965587	GAM_Duchon	6		2022-01-28T00:00:00Z	vpd
0.0445657454768802	GAM_Gaussian	7		2022-01-28T00:00:00Z	vpd
0.0460174684036336	Thin_plate_spline	5		2022-01-28T00:00:00Z	vpd
0.0426721674327535	GAM_Penalized	9		2022-01-28T00:00:00Z	vpd
0.0502022374807553	Inverse_dist_weighting		4	2022-01-28T00:00:00Z	vpd
0.0531612901363684	Nearest_neighbor			2022-01-28T00:00:00Z	vpd
0.0479769557577046	GAM_Duchon	6		2022-01-28T00:15:00Z	vpd
0.0452721464005369	GAM_Gaussian	7		2022-01-28T00:15:00Z	vpd
0.0469333411671414	Thin_plate_spline	5		2022-01-28T00:15:00Z	vpd
0.0435425376321703	GAM_Penalized	5		2022-01-28T00:15:00Z	vpd
0.0502889788027884	Inverse_dist_weighting		4	2022-01-28T00:15:00Z	vpd
0.0526564741712213	Nearest_neighbor			2022-01-28T00:15:00Z	vpd
0.0503247801062954	GAM_Duchon	9		2022-01-28T00:30:00Z	vpd
0.0451734922356465	GAM_Gaussian	5		2022-01-28T00:30:00Z	vpd
0.0483920985975119	Thin_plate_spline	5		2022-01-28T00:30:00Z	vpd
0.0449236108493749	GAM_Penalized	9		2022-01-28T00:30:00Z	vpd
0.051971778029904	Inverse_dist_weighting		4	2022-01-28T00:30:00Z	vpd
0.0538815316459386	Nearest_neighbor			2022-01-28T00:30:00Z	vpd
0.0435662085809905	GAM_Duchon	9		2022-01-28T00:45:00Z	vpd
0.0422838502184402	GAM_Gaussian	5		2022-01-28T00:45:00Z	vpd
0.0477924732514011	Thin_plate_spline	7		2022-01-28T00:45:00Z	vpd
0.0467549207830546	GAM_Penalized	7		2022-01-28T00:45:00Z	vpd
0.0526186851300373	Inverse_dist_weighting		3	2022-01-28T00:45:00Z	vpd
0.0538500252781571	Nearest_neighbor			2022-01-28T00:45:00Z	vpd
0.0522309468718973	GAM_Duchon	6		2022-01-28T01:00:00Z	vpd
0.0496796567703284	GAM_Gaussian	7		2022-01-28T01:00:00Z	vpd
0.051020800599584	Thin_plate_spline	5		2022-01-28T01:00:00Z	vpd
0.0469965564590671	GAM_Penalized	9		2022-01-28T01:00:00Z	vpd
0.0516450933654194	Inverse_dist_weighting		4	2022-01-28T01:00:00Z	vpd
0.0544434507477884	Nearest_neighbor			2022-01-28T01:00:00Z	vpd
0.0454358918593412	GAM_Duchon	8		2022-01-28T01:15:00Z	vpd
0.0488331640783984	GAM_Gaussian	5		2022-01-28T01:15:00Z	vpd
0.0482748811641186	Thin_plate_spline	8		2022-01-28T01:15:00Z	vpd
0.0498001058185753	GAM_Penalized	5		2022-01-28T01:15:00Z	vpd
0.05089163206544	Inverse_dist_weighting		4	2022-01-28T01:15:00Z	vpd
0.0523617492019186	Nearest_neighbor			2022-01-28T01:15:00Z	vpd
0.0430670220968466	GAM_Duchon	9		2022-01-28T01:30:00Z	vpd
0.0485121845251626	GAM_Gaussian	8		2022-01-28T01:30:00Z	vpd
0.0430827682943979	Thin_plate_spline	9		2022-01-28T01:30:00Z	vpd
0.0485160791416836	GAM_Penalized	5		2022-01-28T01:30:00Z	vpd
0.0482383593335548	Inverse_dist_weighting		5	2022-01-28T01:30:00Z	vpd
